,0
0,50.224.173.189:8080
1,5.57.233.18:8080
2,200.205.93.115:54732
3,37.220.78.96:53281
4,138.0.89.139:59400
5,80.90.27.54:58259
6,140.227.65.196:3128
7,213.6.97.249:36127
8,37.191.78.2:52307
9,111.92.164.245:38608
10,190.94.76.168:41099
11,200.7.252.98:55210
12,125.27.10.235:54057
13,109.185.230.28:32036
14,212.14.51.65:32231
15,200.155.127.30:48351
16,190.215.118.170:45802
17,195.69.218.198:55739
18,201.16.163.132:33192
19,190.24.137.210:35278
20,217.194.255.217:3128
21,109.195.67.106:8080
22,200.12.134.93:47886
23,41.160.85.34:49913
24,89.255.83.199:45360
25,104.165.219.181:46101
26,190.182.88.142:37196
27,163.172.86.64:3128
28,176.124.128.161:38769
29,181.112.52.26:53281
30,110.235.249.228:49485
31,200.58.216.126:59318
32,71.91.129.249:41750
33,31.216.142.12:46271
34,159.253.80.26:32517
35,91.192.24.157:40540
36,160.119.153.206:13093
37,89.232.58.169:8888
38,37.61.224.103:8195
39,94.21.177.88:4550
40,110.93.13.179:55810
41,85.100.108.84:37120
42,95.174.100.245:32507
43,165.90.209.134:8080
44,153.149.169.215:3128
45,94.199.217.199:55705
46,176.62.185.206:31601
47,80.87.184.49:41258
48,103.248.219.34:37065
49,27.109.116.190:54748
50,187.72.242.161:56472
51,186.235.64.136:60626
52,134.19.235.211:32422
53,178.151.0.105:57495
54,176.196.195.170:44527
55,106.240.254.138:80
56,195.206.45.112:53281
57,93.157.163.209:46039
58,103.53.110.37:32414
59,213.174.10.58:32421
60,192.30.85.28:8888
61,77.90.120.20:51956
62,212.75.249.130:41411
63,193.68.211.178:31778
64,84.40.120.71:32231
65,119.252.168.53:53281
66,65.173.110.100:32162
67,89.23.193.68:41258
68,103.88.240.18:8888
69,187.72.66.11:46530
70,195.230.158.39:51505
71,103.68.54.97:56796
72,103.240.161.118:51901
73,194.48.209.14:8081
74,46.209.222.106:8888
75,185.173.247.13:52264
76,114.141.49.147:42938
77,178.19.177.54:44872
78,185.17.127.214:41885
79,180.250.54.27:53281
80,194.213.43.84:45411
81,41.191.204.142:8888
82,201.72.43.195:55355
83,146.66.203.40:60428
84,185.13.78.17:43378
85,89.251.25.254:43319
86,201.46.31.47:55132
87,118.179.212.154:46553
88,192.121.207.148:24563
89,103.110.88.20:37401
90,103.111.54.74:8080
91,46.99.195.69:53281
92,45.71.230.20:60252
93,181.112.153.14:53281
94,89.223.18.37:38451
95,46.107.226.220:53281
96,202.191.126.58:23500
97,24.113.168.225:52252
98,124.41.240.64:23500
99,177.190.217.9:23500
100,93.84.120.164:47066
101,46.26.9.51:32856
102,96.73.101.62:44837
103,188.142.168.122:32231
104,176.111.33.196:41241
105,130.193.124.184:56955
106,190.152.222.174:8888
